"portal","geo","month","NormalizedSI","pctTot"
"Portal - YachtWorld","RussiaScandinavia - Geographical Area",7,1.39625648647796,0.116354707206496
"Portal - YachtWorld","RussiaScandinavia - Geographical Area",8,1.36584532264777,0.113820443553981
"Portal - YachtWorld","RussiaScandinavia - Geographical Area",9,1.03748293045469,0.0864569108712239
"Portal - YachtWorld","RussiaScandinavia - Geographical Area",10,0.886152462332332,0.0738460385276944
"Portal - YachtWorld","RussiaScandinavia - Geographical Area",11,0.802422518191871,0.0668685431826559
"Portal - YachtWorld","RussiaScandinavia - Geographical Area",12,0.801889971717601,0.0668241643098001
"Portal - YachtWorld","CA_WEST - Geographical Area",1,1.00861281060252,0.0840510675502096
"Portal - YachtWorld","CA_WEST - Geographical Area",2,0.991704941331438,0.0826420784442865
"Portal - YachtWorld","CA_WEST - Geographical Area",3,0.967128273567083,0.0805940227972569
"Portal - YachtWorld","CA_WEST - Geographical Area",4,0.962749074186411,0.0802290895155342
"Portal - YachtWorld","CA_WEST - Geographical Area",5,1.04205302413182,0.0868377520109846
"Portal - YachtWorld","CA_WEST - Geographical Area",6,1.03640397247691,0.0863669977064088
"Portal - YachtWorld","CA_WEST - Geographical Area",7,1.14010491591128,0.095008742992607
"Portal - YachtWorld","CA_WEST - Geographical Area",8,1.27202627519628,0.10600218959969
"Portal - YachtWorld","CA_WEST - Geographical Area",9,1.09384427844313,0.0911536898702609
"Portal - YachtWorld","CA_WEST - Geographical Area",10,0.924883442813318,0.0770736202344432
"Portal - YachtWorld","CA_WEST - Geographical Area",11,0.791986873956474,0.0659989061630395
"Portal - YachtWorld","CA_WEST - Geographical Area",12,0.768502117383342,0.0640418431152785
"Portal - YachtWorld","CA_EAST - Geographical Area",1,0.97308879718585,0.0810907330988208
"Portal - YachtWorld","CA_EAST - Geographical Area",2,0.970975263226061,0.0809146052688384
"Portal - YachtWorld","CA_EAST - Geographical Area",3,0.986498402806879,0.0822082002339066
"Portal - YachtWorld","CA_EAST - Geographical Area",4,0.932091847449798,0.0776743206208165
"Portal - YachtWorld","CA_EAST - Geographical Area",5,0.9491091846476,0.0790924320539667
"Portal - YachtWorld","CA_EAST - Geographical Area",6,1.05150924281588,0.0876257702346564
"Portal - YachtWorld","CA_EAST - Geographical Area",7,1.19444350130181,0.0995369584418173
"Portal - YachtWorld","CA_EAST - Geographical Area",8,1.34615324938967,0.112179437449139
"Portal - YachtWorld","CA_EAST - Geographical Area",9,1.17928456265214,0.0982737135543447
"Portal - YachtWorld","CA_EAST - Geographical Area",10,0.897092722246152,0.074757726853846
